country,year,allies,borderCountries,inversion,gdp,war
"BGR",1956,"ALB,RUS,POL,HUN,GDR,POL,HUN,CZK,ALB,ROU,RUS","GRC,MKD,ROU,SRB,TUR",8.337238300000001,2128,0
"BGR",1960,"ALB,RUS,POL,HUN,GDR,POL,CZK,ALB,ROU,RUS","GRC,MKD,ROU,SRB,TUR",6.3970904000000015,2912,0
"BGR",1971,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR","GRC,MKD,ROU,SRB,TUR",19.750635,4902,0
"BGR",1973,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR","GRC,MKD,ROU,SRB,TUR",19.70787,5284,0
"BGR",1984,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR,LBY","GRC,MKD,ROU,SRB,TUR",25.625034,6430,0
"BGR",1987,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR,LBY","GRC,MKD,ROU,SRB,TUR",8.3120432,6382,0
"BGR",1998,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",2.7728617,5052,0
"BGR",2005,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",2.2414415,6935,1
"BGR",2009,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",1.7389876,8333,1
"BGR",1911,,"GRC,MKD,ROU,SRB,TUR",24.167885,1137,0
"BGR",1911,,"GRC,MKD,ROU,SRB,TUR",24.167885,1100,0
"BGR",1911,,"GRC,MKD,ROU,SRB,TUR",24.167885,1089,0
"BGR",1927,,"GRC,MKD,ROU,SRB,TUR",19.471985,1182,0
"BGR",1927,,"GRC,MKD,ROU,SRB,TUR",19.471985,1039,0
"BGR",1929,"TUR","GRC,MKD,ROU,SRB,TUR",19.189577,1227,0
"BGR",1929,"TUR","GRC,MKD,ROU,SRB,TUR",19.189577,1011,0
"BGR",1936,"TUR","GRC,MKD,ROU,SRB,TUR",32.025349,1386,0
"BGR",1958,"ALB,RUS,POL,HUN,GDR,POL,CZK,ALB,ROU,RUS","GRC,MKD,ROU,SRB,TUR",7.7833552,2508,0
"BGR",1968,"RUS,CZK,POL,HUN,GDR,POL,CZK,ALB,ROU,RUS,GDR","GRC,MKD,ROU,SRB,TUR",4.8814769,4368,1
"BGR",1986,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR,LBY","GRC,MKD,ROU,SRB,TUR",9.5681067,6380,0
"BGR",1955,"ALB,RUS,POL,HUN,GDR,POL,HUN,CZK,ALB,ROU,RUS","GRC,MKD,ROU,SRB,TUR",9.4900074,2148,0
"BGR",1977,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR","GRC,MKD,ROU,SRB,TUR",19.660604,5896,0
"BGR",1978,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR","GRC,MKD,ROU,SRB,TUR",21.226089,6019,0
"BGR",1999,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",2.9047189,4789,0
"BGR",2003,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",2.2316225,5995,1
"BGR",1928,,"GRC,MKD,ROU,SRB,TUR",18.528946,1213,0
"BGR",1928,,"GRC,MKD,ROU,SRB,TUR",18.528946,1025,0
"BGR",1935,"TUR","GRC,MKD,ROU,SRB,TUR",28.303337,1250,0
"BGR",1940,"YUG,GRC,ROU,TUR","GRC,MKD,ROU,SRB,TUR",42.121624,1683,0
"BGR",1975,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR","GRC,MKD,ROU,SRB,TUR",19.875036,5831,0
"BGR",1981,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR","GRC,MKD,ROU,SRB,TUR",17.109961,6186,0
"BGR",1991,"GRC","GRC,MKD,ROU,SRB,TUR",16.302795,5198,0
"BGR",1996,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",3.6867735,4836,0
"BGR",2008,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",2.3850553,8600,1
"BGR",1925,,"GRC,MKD,ROU,SRB,TUR",25.562691,1223,1
"BGR",1925,,"GRC,MKD,ROU,SRB,TUR",25.562691,1067,1
"BGR",1925,,"GRC,MKD,ROU,SRB,TUR",25.562691,1016,1
"BGR",2018,,"GRC,MKD,ROU,SRB,TUR",1.189602,9040,1
"BGR",1937,"TUR,GIB,FRA,YUG,GRC,ROU,RUS,TUR,EGY","GRC,MKD,ROU,SRB,TUR",30.768404,1512,0
"BGR",1969,"RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR","GRC,MKD,ROU,SRB,TUR",5.1813908,4546,0
"BGR",1995,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",3.1914384,5265,0
"BGR",2000,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",2.6052847000000003,5064,0
"BGR",2002,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",2.4209847,5656,1
"BGR",2013,,"GRC,MKD,ROU,SRB,TUR",1.6133177,8873,1
"BGR",2014,,"GRC,MKD,ROU,SRB,TUR",1.4730794,9041,1
"BGR",2015,,"GRC,MKD,ROU,SRB,TUR",1.3164532,9422,1
"BGR",1931,"TUR","GRC,MKD,ROU,SRB,TUR",21.620766,1285,0
"BGR",1939,"TUR,GIB,FRA,YUG,GRC,ROU,RUS,TUR,EGY,YUG,GRC,ROU,TUR","GRC,MKD,ROU,SRB,TUR",27.105137,1676,0
"BGR",1961,"ALB,RUS,POL,HUN,GDR,POL,CZK,ALB,ROU,RUS","GRC,MKD,ROU,SRB,TUR",7.4632978,3072,0
"BGR",1970,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR","GRC,MKD,ROU,SRB,TUR",5.2440267,4773,0
"BGR",1976,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR","GRC,MKD,ROU,SRB,TUR",18.447927,5982,0
"BGR",1979,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR","GRC,MKD,ROU,SRB,TUR",20.417784,6245,0
"BGR",2007,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",1.9669049,8064,1
"BGR",1924,,"GRC,MKD,ROU,SRB,TUR",30.951834,1026,0
"BGR",1924,,"GRC,MKD,ROU,SRB,TUR",30.951834,1081,0
"BGR",1924,,"GRC,MKD,ROU,SRB,TUR",30.951834,1008,0
"BGR",2016,,"GRC,MKD,ROU,SRB,TUR",1.4433044,9804,1
"BGR",1934,"TUR","GRC,MKD,ROU,SRB,TUR",17.973862,1177,0
"BGR",1950,"ALB,RUS,POL,HUN","GRC,MKD,ROU,SRB,TUR",5.1608477,1651,0
"BGR",1950,"ALB,RUS,POL,HUN","GRC,MKD,ROU,SRB,TUR",5.1608477,1188,0
"BGR",1972,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR","GRC,MKD,ROU,SRB,TUR",20.56357,5110,0
"BGR",1983,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR,LBY","GRC,MKD,ROU,SRB,TUR",25.244913,6237,0
"BGR",1994,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",6.0383606,5068,0
"BGR",1951,"ALB,RUS,POL,HUN","GRC,MKD,ROU,SRB,TUR",10.208802,1989,0
"BGR",1951,"ALB,RUS,POL,HUN","GRC,MKD,ROU,SRB,TUR",10.208802,1303,0
"BGR",1953,"ALB,RUS,POL,HUN","GRC,MKD,ROU,SRB,TUR",9.5167484,2085,0
"BGR",1953,"ALB,RUS,POL,HUN","GRC,MKD,ROU,SRB,TUR",9.5167484,1533,0
"BGR",1959,"ALB,RUS,POL,HUN,GDR,POL,CZK,ALB,ROU,RUS","GRC,MKD,ROU,SRB,TUR",6.1325054,2684,0
"BGR",1962,"ALB,RUS,POL,HUN,GDR,POL,CZK,ALB,ROU,RUS","GRC,MKD,ROU,SRB,TUR",6.9655952,3295,0
"BGR",1967,"ALB,RUS,POL,HUN,GDR,POL,CZK,ALB,ROU,RUS,GDR","GRC,MKD,ROU,SRB,TUR",4.8924775,4320,0
"BGR",1974,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR","GRC,MKD,ROU,SRB,TUR",18.973921,5414,0
"BGR",1989,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR,LBY","GRC,MKD,ROU,SRB,TUR",11.316307,6216,0
"BGR",1993,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",5.4397869000000005,4932,0
"BGR",1997,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",3.0259812000000004,4832,0
"BGR",2004,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",2.2481527000000003,6428,1
"BGR",2006,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",2.0457895,7464,1
"BGR",1952,"ALB,RUS,POL,HUN","GRC,MKD,ROU,SRB,TUR",8.0697079,1893,0
"BGR",1952,"ALB,RUS,POL,HUN","GRC,MKD,ROU,SRB,TUR",8.0697079,1418,0
"BGR",1957,"ALB,RUS,POL,HUN,GDR,POL,CZK,ALB,ROU,RUS","GRC,MKD,ROU,SRB,TUR",7.253799000000001,2330,0
"BGR",1980,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR","GRC,MKD,ROU,SRB,TUR",15.449466,6044,0
"BGR",2001,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",2.5818362,5296,1
"BGR",2010,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",1.6658303,8486,1
"BGR",2011,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",1.2634246,8696,1
"BGR",1990,,"GRC,MKD,ROU,SRB,TUR",9.6462994,5597,0
"CAN",1955,"USA,GIB,NDL,BEL,LUX,FRA,PRT,GFR,ITA,GRC,NOR,DNK,ISL,TUR","USA",6.5193806,8201,0
"CAN",1964,"USA,GIB,NDL,BEL,LUX,FRA,PRT,GFR,ITA,GRC,NOR,DNK,ISL,TUR,USA,USA,GIB,FRA,POL,RUS,CHN,IND,MMR,THA,KHM,VNM,VNM","USA",3.4405115,9999,0
"CAN",1979,"USA,GIB,NDL,BEL,LUX,FRA,PRT,GFR,ITA,GRC,NOR,DNK,ISL,TUR,USA,RUS","USA",1.6912125,16170,0
"CAN",1952,"USA,GIB,NDL,BEL,LUX,FRA,PRT,ITA,GRC,NOR,DNK,ISL,TUR","USA",7.3532615,7833,1
"CAN",1962,"USA,GIB,NDL,BEL,LUX,FRA,PRT,GFR,ITA,GRC,NOR,DNK,ISL,TUR,USA,USA,GIB,FRA,POL,RUS,CHN,IND,MMR,THA,KHM,VNM,VNM","USA",4.1221223,9277,1
"CAN",1970,"USA,GIB,NDL,BEL,LUX,FRA,PRT,GFR,ITA,GRC,NOR,DNK,ISL,TUR,USA","USA",2.188751,12050,1
"CAN",1977,"USA,GIB,NDL,BEL,LUX,FRA,PRT,GFR,ITA,GRC,NOR,DNK,ISL,TUR,USA,RUS","USA",1.831407,15223,0
"CAN",1981,"USA,GIB,NDL,BEL,LUX,FRA,ESP,PRT,GFR,ITA,GRC,NOR,DNK,ISL,TUR,USA,RUS","USA",1.6983873,16472,0
"CAN",1985,"USA,GIB,NDL,BEL,LUX,FRA,ESP,PRT,GFR,ITA,GRC,NOR,DNK,ISL,TUR,USA,RUS","USA",1.8482064,17582,0
"CAN",1957,"USA,GIB,NDL,BEL,LUX,FRA,PRT,GFR,ITA,GRC,NOR,DNK,ISL,TUR","USA",5.461279900000001,8607,0
"CAN",1961,"USA,GIB,NDL,BEL,LUX,FRA,PRT,GFR,ITA,GRC,NOR,DNK,ISL,TUR,USA","USA",4.2226949000000005,8833,1
