"warno","statenum","stateabb","yrbeg1","monbeg1","daybeg1","yrend1","monend1","dayend1","yrbeg2","monbeg2","daybeg2","yrend2","monend2","dayend2","duration","deaths","outcome","initiate","sysstat","prwarpop","prwararm","westhem","europe","africa","mideast","asia","oceania","version","warname","censubsy","subsysea","majpowin","majpowea","edition","pbdeadlow","pbdeadhigh","pbdeadbest","tbdeadlow","tbdeadhigh","tbdeadbest"
"139","360","RUM","1941","6","22","1944","8","23","-999","-999","-999","-999","-999","-999","1159","290000","2","0","1","17948","-999","0","1","0","0","0","0","3","World War II","0","0","1","1","0","109941","109941","109941","24494079","24494079","24494079"
"139","740","JPN","1941","12","7","1945","8","14","-999","-999","-999","-999","-999","-999","1347","1740000","2","0","4","72218","3075","0","0","0","0","1","1","3","World War II","0","0","1","1","0","1967435","1967435","1967435","24494079","24494079","24494079"
"139","255","GMY","1939","9","1","1945","5","7","-999","-999","-999","-999","-999","-999","2076","3500000","2","1","4","79375","2750","0","1","1","1","0","0","3","World War II","0","0","1","1","0","3600000","3600000","3600000","24494079","24494079","24494079"
"139","140","BRA","1944","7","6","1945","5","7","-999","-999","-999","-999","-999","-999","306","1000","1","0","1","45141","-999","0","1","0","0","0","0","3","World War II","0","0","1","1","0","943","943","943","24494079","24494079","24494079"
"139","350","GRC","1940","10","25","1941","4","23","-999","-999","-999","-999","-999","-999","181","18300","1","0","1","7189","105","0","1","0","0","0","0","3","World War II","0","0","1","1","0","163350","163350","163350","24494079","24494079","24494079"
"139","200","UKG","1939","9","3","1945","8","14","-999","-999","-999","-999","-999","-999","2173","418765","1","0","4","47834","394","0","1","1","1","1","0","3","World War II","0","0","1","1","0","361130","361130","361130","24494079","24494079","24494079"
"139","210","NTH","1940","5","10","1940","5","14","-999","-999","-999","-999","-999","-999","5","7900","1","0","1","8943","64","0","1","0","0","0","0","3","World War II","0","0","1","1","0","56344","56344","56344","24494079","24494079","24494079"
"139","211","BEL","1940","5","10","1940","5","28","-999","-999","-999","-999","-999","-999","19","9600","1","0","1","8355","82","0","1","0","0","0","0","3","World War II","0","0","1","1","0","27460","27460","27460","24494079","24494079","24494079"
"139","365","USR","1941","6","22","1945","5","7","1945","8","8","1945","8","14","1423","7500000","1","0","4","170051","4207","0","1","0","0","1","0","3","World War II","0","0","1","1","0","13329600","13329600","13329600","24494079","24494079","24494079"
"139","220","FRN","1940","7","7","1941","7","14","-999","-999","-999","-999","-999","-999","373","2500","2","0","1","41726","5000","0","1","0","0","0","0","3","World War II","0","0","1","1","0","160599","160599","160599","24494079","24494079","24494079"
